X,Y
53.55632621,1.236523207
53.55249773,1.121440388
53.54920499,1.146651539
53.54592417,1.179634152
53.54262807,1.21629805
53.53931274,1.259097371
53.5325452,1.30911117
53.53254723,1.383144397
53.52896985,1.477071621
53.5216236,1.602753795
53.52053824,1.765950452
53.51214835,1.918212541
53.50705034,2.048532428
53.50212911,2.146538905
53.49022818,2.234430194
53.48824282,2.340757723
53.48528304,2.481430593
53.47614562,2.710265127
53.46563123,3.058593754
53.44712286,3.543340538
53.4172176,4.156961826
53.36945489,4.873689252
53.30940217,5.662450144
53.23305198,6.456151579
53.15550791,7.218907421
53.06953529,7.899312707
52.99229689,8.479503474
52.92449374,8.951991945
52.87000676,9.311093814
52.82460073,9.573515605
52.78580312,9.763289277
52.75482909,9.925704138
52.72145711,10.09891458
52.6794261,10.3179492
52.62600965,10.61670638
52.54922577,11.00818934
52.45171219,11.48815883
52.33555767,12.05389583
52.19995742,12.67739331
52.04311017,13.32100126
51.88479558,13.96947763
51.7227206,14.5824015
51.56959364,15.13381389
51.4352122,15.61226179
51.31604213,16.00753676
51.22092463,16.32660522
51.14567149,16.57391175
51.08184816,16.76587947
51.03100951,16.92826081
50.98274362,17.08073178
50.92294557,17.25338425
50.85108805,17.47474745
50.76105877,17.77481344
50.63353029,18.15223805
50.47490357,18.60893809
50.28248227,19.13260703
50.06833705,19.70929847
49.83055358,20.31427825
49.58706593,20.92349131
49.345152,21.50773396
49.11575381,22.04399298
48.91216994,22.51759311
48.73678546,22.91733611
48.59212593,23.23168077
48.48640718,23.47938335
48.4048668,23.66251798
48.34586026,23.80743603
48.29261973,23.92884388
48.24431766,24.06026198
48.17288272,24.21739629
48.0777437,24.43161677
47.94596168,24.71669465
47.76439696,25.07497525
47.54202066,25.51466147
47.27861061,26.02104275
46.97941244,26.5697553
46.67040936,27.12999716
46.36019583,27.67684394
46.06495976,28.18411978
45.79237645,28.63302554
45.54984485,29.02407065
45.34797868,29.35258044
45.17958979,29.61533857
45.05090226,29.83117779
44.94360478,29.99510679
44.85533814,30.12896114
44.77780866,30.26291569
44.68532468,30.40133458
44.57154591,30.57880234
44.41654661,30.79826974
44.21840577,31.08594041
43.9739267,31.44356506
43.68964048,31.8667189
43.36446377,32.32902072
43.01150407,32.81008349
42.64502177,33.2818229
42.28973726,33.73611238
41.95773994,34.1514587
41.66343599,34.52009595
41.41493072,34.82736954
41.21382549,35.08153623
41.05005478,35.2815765
40.9078579,35.43987545
40.78900603,35.58468154
40.66911008,35.72966462
40.52780518,35.88332188
40.36254196,36.07719292
40.1542162,36.31706071
39.89839176,36.60607331
39.5967484,36.94020203
39.25709741,37.30880026
38.90002823,37.6954403
38.53432079,38.06951542
38.18594413,38.43262433
37.85884241,38.76145881
37.5672273,39.05052654
37.31183638,39.2941963
37.09302949,39.50035888
36.91017892,39.68401695
36.74260967,39.84532248
36.57373326,40.00641478
36.39724975,40.17947268
36.18782053,40.36743471
35.94548257,40.58240756
35.6765357,40.82425868
35.36959164,41.08899781
35.03460617,41.3795248
34.67890368,41.68227513
34.31449763,41.98669082
33.95494626,42.28785312
33.60468333,42.57638462
33.2696419,42.84217595
32.9606834,43.07782891
32.67948838,43.28916767
32.42750486,43.47604955
32.20195983,43.64725679
31.98977475,43.80693375
31.77261887,43.95676818
31.5545152,44.11731562
