X,Y
52.18499792,-0.014724842
52.17131734,-0.027587601
52.15763826,-0.031042822
52.14736565,-0.002037184
52.13706408,0.026559412
52.1267227,0.060064234
52.11972254,0.110077855
52.10915519,0.175076923
52.10173513,0.268854589
52.09040367,0.392340309
52.08542296,0.534933072
52.07678869,0.66224031
52.07182388,0.757791702
52.06346118,0.838469055
52.05844504,0.918883451
52.0566705,1.00476002
52.05089588,1.106023316
52.04681837,1.268763485
52.0385595,1.550459216
52.02597322,1.995333269
52.00470435,2.608919203
51.97436074,3.364893872
51.92340677,4.19787186
51.85411004,5.045897721
51.76162974,5.843140738
51.65982698,6.555047174
51.55687077,7.147034295
51.47909415,7.627933806
51.41556879,7.989376066
51.37733168,8.25289223
51.33785489,8.420214529
51.31574533,8.552125082
51.29022334,8.678542659
51.25356879,8.843791634
51.20619608,9.088050957
51.14517604,9.442685113
51.06330679,9.912293022
50.95572256,10.48522285
50.82525267,11.13234766
50.68008713,11.82412549
50.52541107,12.5153478
50.37004313,13.17225537
50.23142974,13.7679865
50.10279557,14.27327085
50.00407177,14.68947118
49.92856398,15.01742551
49.87125161,15.26474522
49.83608345,15.4658429
49.80591011,15.63444027
49.7840532,15.81783245
49.74995519,16.03767762
49.68429072,16.31001378
49.59077246,16.66145894
49.46486702,17.09997243
49.30967959,17.60972797
49.12299187,18.16464815
48.92946753,18.75665957
48.72123306,19.34233214
48.51322364,19.89656293
48.32561375,20.40839268
48.15330412,20.84815477
48.02017302,21.23331142
47.90430075,21.53943662
47.82273724,21.79802536
47.75788629,22.00618572
47.69198164,22.18220969
47.63558587,22.36859777
47.55870928,22.57563292
47.45982895,22.83741013
47.31839218,23.15237202
47.14985462,23.5481165
46.95120285,24.00598224
46.71861718,24.49921629
46.48018364,25.02107172
46.23875335,25.5357637
46.01676666,26.03217027
45.82222691,26.47935164
45.63817355,26.86306219
45.49241462,27.20330588
45.35766113,27.48411699
45.25248077,27.74003035
45.14896138,27.96373227
45.05351182,28.19023015
44.94870403,28.42969499
44.81707942,28.68279561
44.67125288,28.98149843
44.48579261,29.3113521
44.28190289,29.689886
44.04201075,30.09016209
43.79877709,30.51322229
43.53470617,30.92511532
43.28141851,31.33061671
43.03620905,31.70973558
42.80181761,32.05185781
42.59263253,32.36314092
42.40419896,32.64294275
42.23918584,32.9046763
42.07867876,33.14998764
41.91653608,33.38704269
41.75302075,33.63102719
41.58162684,33.88982012
41.38612643,34.15240214
41.1796816,34.44003435
40.9490088,34.74524313
40.70286489,35.07164563
40.4377313,35.40767715
40.16850992,35.75034972
39.90001374,36.09405245
39.62272818,36.42055997
39.35639444,36.74436006
39.09515992,37.05087581
38.84900351,37.3511926
38.61448597,37.62852663
38.38566718,37.88962636
38.17303953,38.14495814
37.95681255,38.38049549
37.74575858,38.62176838
37.52638194,38.86162592
37.30191374,39.11021876
37.06048226,39.35854085
36.79821607,39.60326789
36.52954167,39.85705643
36.25119757,40.11602726
35.98539979,40.39888733
35.70930164,40.67408801
35.44093944,40.97059028
35.17742684,41.26527534
34.90771359,41.53612624
34.63472345,41.79355483
34.37447261,42.04954236
34.11975732,42.31011119
33.85276031,42.54650609
33.60605401,42.8004861
33.35198588,43.04495448
33.08407028,43.27283408
32.80505549,43.50002075
32.52244348,43.72080978
32.24233961,43.93672058
31.96490626,44.15361962
